,Name,Links,Cost,Cuisines,Timings,Price Range,Rating,American,Andhra,Arabian,Asian,BBQ,Bakery,Beverages,Biryani,Burger,Cafe,Chinese,Continental,Desserts,European,Fast Food,Finger Food,Goan,Healthy Food,Hyderabadi,Ice Cream,Indonesian,Italian,Japanese,Juices,Kebab,Lebanese,Malaysian,Mediterranean,Mexican,Mithai,Modern Indian,Momos,Mughlai,North Eastern,North Indian,Pizza,Salad,Seafood,South Indian,Spanish,Street Food,Sushi,Thai,Wraps,Total_Cuisines,cluster_kmean,cluster_gmm
44,La La Land - Bar & Kitchen,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,1000,"['Finger Food', 'North Indian', 'Kebab', 'Chinese']",12 Noon to 11:30 PM,900-1000,3.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3
45,Owm Nom Nom,https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,900,"['Chinese', 'Biryani', 'Andhra', 'North Indian']",12Noon to 11:30PM (Mon-Sun),800-900,3.29,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3
46,Ulavacharu,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,1400,"['Andhra', 'North Indian', 'Chinese']",12 Noon to 11:30 PM,1000-1500,3.225,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3
47,Shanghai Chef 2,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,800,"['Chinese', 'Thai', 'Indonesian', 'Asian']",12 Noon to 11 PM,700-800,3.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
48,Udipi's Upahar,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,500,"['South Indian', 'North Indian', 'Chinese']",6 AM to 10:30 PM,Below 500,4.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,2
49,Mathura Vilas,https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,500,"['South Indian', 'North Indian', 'Chinese']","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM",Below 500,2.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0
50,Gal Punjab Di,https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,800,"['North Indian', 'Continental']","11:55 AM to 4 PM, 7 PM to 11:15 PM",700-800,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2
51,Hitech Bawarchi Food Zone,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,500,"['Biryani', 'North Indian', 'Chinese']",12 Noon to 11 PM,Below 500,3.05,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
52,Biryanis And More,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,500,"['North Indian', 'Biryani', 'Chinese']",11 AM to 11 PM,Below 500,3.74,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2
53,Diners Pavilion,https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,1200,"['Chinese', 'Continental', 'Italian']","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)",1000-1500,3.32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
54,Asian Meal Box,https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,200,['Asian'],"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",Below 500,2.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,Cafe Eclat,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,700,"['Cafe', 'Bakery']",8 AM to 11:30 PM,600-700,3.59,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
56,Feast - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,2500,"['Modern Indian', 'Asian', 'Continental', 'Italian']","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)",Above 2000,4.22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
57,Being Hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450,"['North Indian', 'Chinese']","12 Noon to 3 PM, 7 PM to 11:30 PM",Below 500,3.66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2
58,Tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350,"['Desserts', 'Beverages']",11:30 AM to 1 AM,Below 500,3.85,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
59,KS Bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200,"['Bakery', 'Desserts', 'Fast Food']",9 AM to 10 PM,Below 500,3.965,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
60,PourHouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,1200,"['North Indian', 'Continental', 'Chinese', 'Italian']","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",1000-1500,3.86,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3
61,Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,1200,"['Kebab', 'Continental', 'Italian', 'North Indian']",5pm to 12midnight (Mon-Sun),1000-1500,4.215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4
62,Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500,"['North Indian', 'Chinese', 'Fast Food']",11 AM to 11:30 PM,Below 500,2.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
